app,campaign_network,adgroup_id_network,day,installs,ecpi,cost,all_revenue,cohort_ad_revenue,roas_d0,roas_d1,roas_d2,roas_d3,roas_d4,roas_d5,roas_d6,roas_d7,roas_d14,roas_d21,roas_d30,roas_d45
Farm Block Escape,FBE_US_CPI_A35_FEMALE_SCE,ZmRhNzljMzE4MjI1NGI4OTgxM2F8,2025-08-16,113,0.0,0.0,25.2725,33.6815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farm Block Escape,FBE_US_CPI_A35_FEMALE_SCE,ZmRhNzljMzE4MjI1NGI4OTgxM2F8,2025-08-18,113,0.0,0.0,21.7486,28.5627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farm Block Escape,FBE_US_CPI_A35_FEMALE_SCE,ZmRhNzljMzE4MjI1NGI4OTgxM2F8,2025-08-17,87,0.0,0.0,10.232,11.7358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Word Match,WM_US_CPI_FEMALE,WM_US_CPI_FEMALE,2025-01-26,66,0.0,0.0,28.1535,21.8549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farm Block Escape,FBE_US_CPI_A35_FEMALE_SCE,ZmRhNzljMzE4MjI1NGI4OTgxM2F8,2025-08-19,64,0.0,0.0,19.5014,11.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farm Block Escape,FBE_US_CPI_A35_FEMALE_SCE,ZmRhNzljMzE4MjI1NGI4OTgxM2F8,2025-09-05,61,0.0,0.0,17.6852,11.1773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farm Block Escape,FBE_US_CPI_A35_FEMALE_SCE,ZmRhNzljMzE4MjI1NGI4OTgxM2F8,2025-08-20,60,0.0,0.0,8.6265,9.7912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farm Block Escape,FBE_US_CPI_A35_FEMALE_SCE,ZmRhNzljMzE4MjI1NGI4OTgxM2F8,2025-08-22,60,0.0,0.0,9.0894,9.1935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farm Block Escape,FBE_US_CPI_A35_FEMALE_SCE,ZmRhNzljMzE4MjI1NGI4OTgxM2F8,2025-09-03,59,0.0,0.0,14.339,10.1291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farm Block Escape,FBE_US_CPI_A35_FEMALE_SCE,ZmRhNzljMzE4MjI1NGI4OTgxM2F8,2025-08-21,58,0.0,0.0,16.1369,14.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farm Block Escape,FBE_US_CPI_A35_FEMALE_SCE,ZmRhNzljMzE4MjI1NGI4OTgxM2F8,2025-08-30,58,0.0,0.0,8.1615,10.4826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farm Block Escape,FBE_US_CPI_A35_FEMALE_SCE,ZmRhNzljMzE4MjI1NGI4OTgxM2F8,2025-09-04,58,0.0,0.0,12.5338,13.6209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farm Block Escape,FBE_US_CPI_A35_FEMALE_SCE,ZmRhNzljMzE4MjI1NGI4OTgxM2F8,2025-09-06,58,0.0,0.0,13.0809,11.7974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farm Block Escape,FBE_US_CPI_A35_FEMALE_SCE,ZmRhNzljMzE4MjI1NGI4OTgxM2F8,2025-08-23,57,0.0,0.0,18.5133,15.9728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farm Block Escape,FBE_US_CPI_A35_FEMALE_SCE,ZmRhNzljMzE4MjI1NGI4OTgxM2F8,2025-08-25,57,0.0,0.0,6.9206,8.3191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farm Block Escape,FBE_US_CPI_A35_FEMALE_SCE,ZmRhNzljMzE4MjI1NGI4OTgxM2F8,2025-08-31,57,0.0,0.0,9.6317,13.9237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farm Block Escape,FBE_US_CPI_A35_FEMALE_SCE,ZmRhNzljMzE4MjI1NGI4OTgxM2F8,2025-09-07,57,0.0,0.0,11.4142,7.6019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farm Block Escape,FBE_US_CPI_A35_FEMALE_SCE,ZmRhNzljMzE4MjI1NGI4OTgxM2F8,2025-08-26,56,0.0,0.0,8.5009,6.3178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farm Block Escape,FBE_US_CPI_A35_FEMALE_SCE,ZmRhNzljMzE4MjI1NGI4OTgxM2F8,2025-09-08,56,0.0,0.0,14.9249,10.8446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farm Block Escape,FBE_UK_CPI_A35_FEMALE_SCE,ZmYzYWMxMTA5YWI5NGRmM2JjOWJ8,2025-08-16,54,0.0,0.0,6.643,10.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farm Block Escape,FBE_US_CPI_A35_FEMALE_SCE,ZmRhNzljMzE4MjI1NGI4OTgxM2F8,2025-08-24,54,0.0,0.0,10.3811,7.618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Word Match,WM_US_CPI_FEMALE,WM_US_CPI_FEMALE,2025-01-19,54,0.0,0.0,19.4882,26.5664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farm Block Escape,FBE_US_CPI_A35_FEMALE_SCE,ZmRhNzljMzE4MjI1NGI4OTgxM2F8,2025-09-01,53,0.0,0.0,9.4904,7.6737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Word Match,WM_US_CPI_FEMALE,WM_US_CPI_FEMALE,2025-01-21,53,0.0,0.0,19.065,15.8576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Word Match,WM_US_CPI_FEMALE,WM_US_CPI_FEMALE,2025-01-23,52,0.0,0.0,19.5409,11.983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farm Block Escape,FBE_US_CPI_A35_FEMALE_SCE,ZmRhNzljMzE4MjI1NGI4OTgxM2F8,2025-08-15,51,0.0,0.0,3.5519,8.4968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farm Block Escape,FBE_US_CPI_A35_FEMALE_SCE,ZmRhNzljMzE4MjI1NGI4OTgxM2F8,2025-08-27,51,0.0,0.0,7.0263,5.1915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Word Match,WM_US_CPI_FEMALE,WM_US_CPI_FEMALE,2025-01-12,51,0.0,0.0,17.0349,14.6121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farm Block Escape,FBE_US_CPI_A35_FEMALE_SCE,ZmRhNzljMzE4MjI1NGI4OTgxM2F8,2025-09-02,50,0.0,0.0,5.8396,5.3861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
