gönder app,campaign_network,adgroup_network,day,installs,ecpi,cost,all_revenue,roas_d0,roas_d1,roas_d2,roas_d3,roas_d4,roas_d5,roas_d6,roas_d7,roas_d14,roas_d21,roas_d30,roas_d45
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_MTkwMzZ8,2025-07-01,171,3.0,483.0,320.0406,0.4419,0.4948,0.5299,0.5467,0.5766,0.5897,0.6003,0.6146,0.7257,0.7617,0.782,0.8033
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,LV9UVnNKZTY4WjZW,2025-07-01,78,2.9857,209.0,64.3822,0.1664,0.1914,0.2183,0.2355,0.2438,0.2719,0.274,0.289,0.3456,0.3786,0.4137,0.4139
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-01,63,2.9914,173.5,48.0627,0.2428,0.2489,0.2508,0.2565,0.2573,0.2603,0.2633,0.2637,0.2777,0.2851,0.292,0.296
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-01,60,3.0,162.0,88.3285,0.4619,0.5077,0.5912,0.6663,0.6837,0.7107,0.7199,0.7233,0.7411,0.7608,0.7609,0.762
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SAP_LV9UVnNKZTY4WjZW,2025-07-01,6,3.0,18.0,24.8568,0.0653,0.0707,0.0723,0.0725,0.1524,0.1524,0.1524,0.1524,0.1524,0.1533,0.1535,0.1535
Venomidle Survive,test,unknown,2025-07-01,1,0.2,0.2,0.0168,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_MTkwMzZ8,2025-07-02,190,3.0,501.0,248.5077,0.4091,0.447,0.4669,0.4761,0.4841,0.5104,0.533,0.5409,0.5804,0.6304,0.6448,0.6665
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_MTkxNDF8,2025-07-02,179,2.5,397.5,110.3826,0.3292,0.3567,0.3743,0.3951,0.4146,0.4495,0.4722,0.4921,0.5673,0.6079,0.6584,0.7112
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,LV9UVnNKZTY4WjZW,2025-07-02,75,2.5,172.5,78.2185,0.2535,0.3174,0.3316,0.3549,0.3571,0.3578,0.3741,0.3771,0.4065,0.4241,0.4307,0.4433
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-02,61,2.5,145.0,37.2398,0.2399,0.2628,0.2951,0.3111,0.3268,0.3296,0.3371,0.3496,0.3726,0.3822,0.3897,0.3906
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-02,59,3.0,162.0,54.3215,0.2547,0.292,0.3714,0.3945,0.4381,0.4441,0.456,0.4584,0.4683,0.4683,0.4826,0.4826
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SAP_LV9UVnNKZTY4WjZW,2025-07-02,5,3.0,12.0,28.4155,0.4138,0.4419,0.4419,0.4419,0.4419,0.4419,0.4419,0.4419,0.4419,0.4419,0.4419,0.4456
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-03,485,3.0,1332.0,532.5366,0.6575,0.7996,0.853,0.8772,0.8929,0.9028,0.9134,0.9396,0.9584,0.9649,0.9698,0.9734
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_MTkxNDF8,2025-07-03,173,2.5,395.0,161.0197,0.366,0.3993,0.4439,0.4699,0.4899,0.5009,0.5106,0.5167,0.5451,0.5593,0.5696,0.5847
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_MTkwMzZ8,2025-07-03,168,3.0,486.0,267.855,0.4383,0.488,0.5354,0.5647,0.6104,0.6258,0.639,0.6525,0.7091,0.7355,0.7765,0.8004
