app,campaign_network,adgroup_network,day,installs,ecpi,cost,all_revenue,roas_d0,roas_d1,roas_d2,roas_d3,roas_d4,roas_d5,roas_d6,roas_d7,roas_d14,roas_d21,roas_d30,roas_d45
Blossom Match Android,a:BlossomMatch|p:Android|g:CA|ct:CPI|e:MRLevels|t:Yes|au:_|cf:_|s:appsamurai_int|d:250709,WUpaY0xnb1A3QWNh,2025-07-24,24,2.5,52.5,14.4268,0.3686,0.4439,0.4785,0.5254,0.5507,0.6007,0.6243,0.6389,0.6748,0.7334,0.7573,0.7573
Blossom Match Android,a:BlossomMatch|p:Android|g:CA|ct:CPI|e:MRLevels|t:Yes|au:_|cf:_|s:appsamurai_int|d:250709,WUpaY0xnb1A3QWNh,2025-07-25,48,2.5,110.0,29.0404,0.2651,0.4422,0.5393,0.5725,0.6064,0.6346,0.67,0.6943,0.8073,0.8703,0.9229,0.9389
Blossom Match Android,a:BlossomMatch|p:Android|g:CA|ct:CPI|e:MRLevels|t:Yes|au:_|cf:_|s:appsamurai_int|d:250709,WUpaY0xnb1A3QWNh,2025-07-26,37,2.5,87.5,37.8947,0.1991,0.2231,0.2853,0.3124,0.3723,0.3884,0.4095,0.4345,0.5519,0.6116,0.6214,0.6682
Blossom Match Android,a:BlossomMatch|p:Android|g:CA|ct:CPI|e:MRLevels|t:Yes|au:_|cf:_|s:appsamurai_int|d:250709,WUpaY0xnb1A3QWNh,2025-07-27,31,2.5,70.0,27.6552,0.1483,0.1779,0.1991,0.2069,0.2113,0.2252,0.2449,0.2498,0.3067,0.3813,0.4193,0.0
Blossom Match Android,a:BlossomMatch|p:Android|g:CA|ct:CPI|e:MRLevels|t:Yes|au:_|cf:_|s:appsamurai_int|d:250709,WUpaY0xnb1A3QWNh,2025-07-28,33,2.5,80.0,26.5851,0.1987,0.2311,0.3237,0.3922,0.4343,0.4354,0.4494,0.4638,0.5525,0.5704,0.5705,0.0
Blossom Match Android,a:BlossomMatch|p:Android|g:CA|ct:CPI|e:MRLevels|t:Yes|au:_|cf:_|s:appsamurai_int|d:250709,WUpaY0xnb1A3QWNh,2025-07-29,43,2.5,105.0,31.1303,0.2055,0.2851,0.3395,0.3732,0.4193,0.4753,0.4922,0.5199,0.6439,0.7421,0.8019,0.0
Blossom Match Android,a:BlossomMatch|p:Android|g:CA|ct:CPI|e:MRLevels|t:Yes|au:_|cf:_|s:appsamurai_int|d:250709,WUpaY0xnb1A3QWNh,2025-07-30,31,2.5,60.0,37.1226,0.2935,0.3905,0.4943,0.5863,0.6026,0.6552,0.6691,0.7082,0.8018,0.8617,0.8945,0.0
Blossom Match Android,a:BlossomMatch|p:Android|g:CA|ct:CPI|e:MRLevels|t:Yes|au:_|cf:_|s:appsamurai_int|d:250709,WUpaY0xnb1A3QWNh,2025-07-31,33,2.3,69.0,40.004,0.1358,0.1609,0.1941,0.2166,0.2325,0.2405,0.2575,0.2656,0.3441,0.3886,0.3953,0.0
Blossom Match Android,a:BlossomMatch|p:Android|g:CA|ct:CPI|e:MRLevels|t:Yes|au:_|cf:_|s:appsamurai_int|d:250709,WUpaY0xnb1A3QWNh,2025-08-01,20,1.75,31.5,32.2719,0.3274,0.3884,0.4175,0.419,0.4217,0.4268,0.427,0.4555,0.4789,0.4882,0.4904,0.0
Blossom Match Android,a:BlossomMatch|p:Android|g:CA|ct:CPI|e:MRLevels|t:Yes|au:_|cf:_|s:appsamurai_int|d:250709,WUpaY0xnb1A3QWNh,2025-08-02,17,1.75,26.25,24.4815,0.2549,0.2846,0.3503,0.351,0.3669,0.3898,0.4359,0.4359,0.4813,0.4899,0.4899,0.0
