app,campaign_network,adgroup_network,day,installs,ecpi,cost,all_revenue,roas_d0,roas_d1,roas_d2,roas_d3,roas_d4,roas_d5,roas_d6,roas_d7,roas_d14,roas_d21,roas_d30,roas_d45
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,SAP_e3N1Yl9hZmZ9,2025-03-11,1,2.0,2.0,0.0028,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-03-12,116,2.0,204.0,26.1623,0.2318,0.2706,0.2988,0.3199,0.3333,0.3505,0.3634,0.4051,0.5126,0.53,0.5784,0.5784
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-03-13,120,2.0,236.0,75.1395,0.2332,0.2977,0.3259,0.344,0.3698,0.3992,0.4199,0.4384,0.5051,0.5347,0.5602,0.5753
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-03-14,127,2.0,228.0,84.1882,0.2965,0.3584,0.3966,0.4343,0.458,0.4771,0.5092,0.5222,0.6047,0.6569,0.7112,0.7148
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-03-15,120,2.0,216.0,106.8407,0.3802,0.4648,0.5048,0.5716,0.6215,0.6546,0.6721,0.7155,0.8012,0.837,0.8636,0.8679
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-03-16,124,2.0,224.0,93.6997,0.3009,0.3702,0.4313,0.4979,0.5287,0.5475,0.5949,0.6046,0.7296,0.7724,0.8021,0.8021
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-03-17,116,2.0,212.0,114.951,0.3108,0.3823,0.4666,0.5182,0.5611,0.5983,0.62,0.6515,0.8021,0.9645,1.1314,1.1395
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-03-18,122,2.0,222.0,116.4918,0.2508,0.3159,0.3618,0.3945,0.415,0.4497,0.4639,0.488,0.5571,0.5775,0.617,0.6186
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-03-19,114,2.0,212.0,106.2317,0.2256,0.2807,0.332,0.3635,0.3854,0.4142,0.4445,0.451,0.4944,0.52,0.5571,0.5605
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-03-20,113,2.0,206.0,134.4389,0.3306,0.4119,0.4885,0.5624,0.5799,0.626,0.6481,0.6791,0.8159,0.8923,0.9256,0.9464
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-03-21,112,2.0,204.0,126.2269,0.3155,0.3626,0.4176,0.4866,0.5423,0.5689,0.6096,0.6243,0.722,0.7961,0.8182,0.8198
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-03-22,99,2.0,174.0,121.0782,0.3338,0.4541,0.5207,0.5608,0.6004,0.6319,0.6929,0.7162,0.8415,0.8942,0.9318,0.9379
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-03-23,112,2.0,206.0,159.335,0.4166,0.4944,0.568,0.5994,0.651,0.6881,0.7317,0.7985,0.9222,0.9903,1.0848,1.0973
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-03-24,104,2.0,190.0,121.0499,0.2881,0.3609,0.4167,0.4775,0.5126,0.5409,0.56,0.5802,0.7451,0.8472,0.9145,0.9187
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-03-25,118,2.0,210.0,175.7805,0.4261,0.5535,0.6196,0.6688,0.7008,0.7306,0.7708,0.7924,0.9371,1.0449,1.1612,1.1734
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-03-26,108,2.0,202.0,151.6339,0.3511,0.4304,0.4843,0.5162,0.5561,0.5756,0.5982,0.6202,0.7761,0.8861,0.9851,0.9951
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-03-27,99,2.0,182.0,158.2941,0.3673,0.4625,0.5316,0.5781,0.5974,0.6221,0.6471,0.6703,0.7851,0.8562,0.8975,0.9018
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-03-28,120,2.0,214.0,191.0535,0.4374,0.5381,0.5934,0.6218,0.6413,0.6904,0.7062,0.7184,0.8456,0.9474,0.995,1.0038
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-03-29,59,2.0,100.0,128.7861,0.2956,0.342,0.3768,0.4106,0.4203,0.4254,0.4379,0.458,0.5031,0.5384,0.5569,0.5576
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-03-30,91,2.0,154.0,139.1699,0.44,0.5331,0.6173,0.6765,0.702,0.7595,0.7926,0.8187,0.9466,1.0484,1.1017,1.1086
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-03-31,95,2.0,168.0,144.1042,0.3764,0.4415,0.4874,0.551,0.5842,0.6305,0.694,0.7291,0.9163,1.0508,1.1411,1.1484
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-04-01,89,2.0,148.0,140.1868,0.4173,0.4952,0.5647,0.6497,0.6822,0.7108,0.7432,0.766,0.9472,1.0689,1.1443,1.145
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-04-02,22,2.0,40.0,114.8039,0.1867,0.2194,0.2612,0.2784,0.3112,0.3476,0.3957,0.3991,0.5465,0.6127,0.6554,0.7266
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-04-03,1,2.0,2.0,75.7502,0.5032,1.2529,1.2529,1.753,1.753,1.753,1.753,1.753,1.753,1.753,1.753,1.753
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,SIE_dXhVZFNTSlBtVUFq,2025-04-04,72,2.0,128.0,8.847,0.1065,0.1575,0.1867,0.2077,0.2324,0.2507,0.2754,0.2881,0.4224,0.4966,0.572,0.6377
FTD - Android,FD_AOS_PT_CPI_REG_CNTUS_20250312_Incent_15-65-150-400-900-1900,LV9UVnNKZTY4WjZW,2025-04-04,4,2.0,8.0,62.8892,0.2369,0.2838,0.2838,0.3165,0.3165,0.3216,0.3216,0.3216,0.3771,0.3771,0.3771,0.3771
